# This is a data table for forsterite computed using BurnMan.
# Independent variables are entropy and pressure.
# POINTS: 51 41
# s,J/kg/K P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg
542.082254725585 0.0 272.99999999999994 3228.59612270465 2.0683629439079355e-05 834.203114455934 8.591102705825714 5.035969774419377 -14444972.347866785
587.1222291629482 0.0 287.845499855506 3227.584425462681 2.1525394034993207e-05 866.6898996896934 8.585677263062264 5.03208459434222 -14432342.936700555
632.1622036003113 0.0 302.93129815800177 3226.517239977917 2.2305102727769624e-05 896.4861432751884 8.579954697608338 5.027987937749551 -14419039.629683435
677.2021780376755 0.0 318.296794644017 3225.3933481981408 2.3029537603330755e-05 923.867031325133 8.57392862317374 5.023675486275519 -14405050.699698897
722.2421524750388 0.0 333.9775707423166 3224.2115153537966 2.370461861147201e-05 949.0722495044271 8.567592247832684 5.019142483680015 -14390362.735693924
767.2821269124022 0.0 350.0063732102102 3222.970148706114 2.4335565200161565e-05 972.312036498015 8.560937354280357 5.014383428299514 -14374960.79108899
812.322101349765 0.0 366.41389038944635 3221.667659484454 2.4926999465656706e-05 993.7719339713308 8.553955420946098 5.0093924521276865 -14358828.492969075
857.3620757871287 0.0 383.22928635805135 3220.3022875578667 2.548304610416664e-05 1013.6165802643192 8.54663709592713 5.004163161396651 -14341948.122413034
902.4020502244925 0.0 400.48062314589083 3218.8721396012365 2.6007406390389145e-05 1031.9927718818421 8.538972318760562 4.998688683140464 -14324300.673139904
947.442024661856 0.0 418.19518405738705 3217.3751896694007 2.6503419878519232e-05 1049.0319650126087 8.53095032378865 4.992961670406497 -14305865.893560795
992.4819990992193 0.0 436.3997273513751 3215.8092785057847 2.6974115496509152e-05 1064.8523405428577 8.522559636721871 4.986974302856194 -14286622.315916313
1037.5219735365824 0.0 455.1206881690475 3214.172111776457 2.742225430217525e-05 1079.560524954371 8.51378806541856 4.980718283516542 -14266547.275209613
1082.5619479739464 0.0 474.384341379146 3212.4612573642494 2.785036561858757e-05 1093.25303695149 8.50462268559696 4.9741848322296045 -14245616.919964775
1127.6019224113093 0.0 494.216930662035 3210.6741172828047 2.826077903338262e-05 1106.0175140655806 8.495049746639735 4.967364651831121 -14223806.21635454
1172.6418968486728 0.0 514.6447928568163 3208.8080203262334 2.8655646361289276e-05 1117.9337562083094 8.485054946238604 4.9602480123467325 -14201088.946890151
1217.6818712860359 0.0 535.6944268965592 3206.8600705290223 2.9036971636556794e-05 1129.0746297216558 8.47462295365026 4.952824591056426 -14177437.70460852
1262.7218457234 0.0 557.3925976907432 3204.8273133144185 2.9406623078122506e-05 1139.5068402045113 8.463737906902558 4.945083626446181 -14152823.883501505
1307.7618201607634 0.0 579.7663467155201 3202.706415814356 2.976636651074277e-05 1149.2916218698679 8.452382414548952 4.937013587767932 -14127217.665789971
1352.801794598127 0.0 602.8431202011936 3200.4940911448425 3.011786006037439e-05 1158.4853156330141 8.440538843893213 4.92860258267998 -14100588.006539049
1397.8417690354893 0.0 626.6507659748106 3198.1868028919816 3.046268284001728e-05 1167.1399028683604 8.428188393592489 4.919838047833183 -14072902.616031421
1442.8817434728535 0.0 651.2175838586387 3195.780828569805 3.080234466916108e-05 1175.303466816135 8.41531126821196 4.910706794735697 -14044127.940256216
1487.921717910217 0.0 676.5723570109515 3193.2722484564665 3.113829843173652e-05 1183.0206064105712 8.401886621236324 4.90119497986134 -14014229.139827613
1532.9616923475803 0.0 702.7443760275177 3190.6569284642824 3.1471951944374894e-05 1190.3328078833815 8.387892477377546 4.891288067148772 -13983170.06761624
1578.001666784944 0.0 729.7634612150622 3187.930520083172 3.180467828344485e-05 1197.278779428558 8.373305705199693 4.8809708057910886 -13950913.24535576
1623.0416412223071 0.0 757.6599764200985 3185.088444505906 3.213782648651474e-05 1203.894756077552 8.358101938286094 4.870227190420914 -13917419.83947436
1668.081615659671 0.0 786.4648379418423 3182.125878399791 3.2472731878275205e-05 1210.2147787800934 8.342255498548912 4.859040420959186 -13882649.636395926
1713.121590097034 0.0 816.2095180744228 3179.037739202249 3.281072628205224e-05 1216.270951973643 8.32573931483526 4.847392859864104 -13846561.017556772
1758.1615645343977 0.0 846.9260429073023 3175.8186691100327 3.3153148312751775e-05 1222.0936834201882 8.308524833903418 4.835265985775042 -13809110.93439107
1803.2015389717603 0.0 878.646984036033 3172.463017632095 3.350135391239817e-05 1227.7119097057941 8.290581922945844 4.822640343216224 -13770254.883550901
1848.2415134091248 0.0 911.4054436097988 3168.9648222214973 3.385672731765157e-05 1233.153310575299 8.271878761662407 4.809495487637353 -13729946.882645441
1893.281487846488 0.0 945.2350326958846 3165.3177888033247 3.422069252220864e-05 1238.4445149259152 8.252381728984702 4.795809927344243 -13688139.446808016
1938.3214622838507 0.0 980.169840796527 3161.5152671474893 3.4594725725863886e-05 1243.6113017518592 8.232055268049674 4.78156105693507 -13644783.566430092
1983.361436721215 0.0 1016.2443974406626 3157.5502271467067 3.4980368621428866e-05 1248.6787984573107 8.210861747540893 4.766725087965934 -13599828.68643843
2028.4014111585773 0.0 1053.4936234675563 3153.415231189712 3.537924305002956e-05 1253.6716798956588 8.188761303514474 4.751276971602893 -13553222.687535716
2073.441385595942 0.0 1091.9527614776696 3149.1023771762943 3.579306898434093e-05 1258.614374102675 8.165711580580432 4.7351902870363265 -13504911.86987781
2118.481360033306 0.0 1131.6573522475378 3144.603400029453 3.6223673871553856e-05 1263.5312578062171 8.141667961893948 4.718437285029967 -13454840.93972249
2163.521334470668 0.0 1172.6430501332702 3139.909365525144 3.6673030804917434e-05 1268.4469068994306 8.116582506258464 4.7009885135500005 -13402952.99965743
2208.5613089080325 0.0 1214.9456177514971 3135.010899722613 3.714326424133837e-05 1273.38630409184 8.090404556601278 4.682812978393875 -13349189.543100601
2253.601283345396 0.0 1258.6007547408963 3129.898008515834 3.763668575791614e-05 1278.375111329339 8.063080044875932 4.663877882052261 -13293490.453866316
2298.6412577827587 0.0 1303.643963895664 3124.560054818355 3.8155823404623425e-05 1283.439951611863 8.034551275392335 4.644148513539146 -13235794.011707898
2343.6812322201217 0.0 1350.110382318816 3118.985702432731 3.870345804672789e-05 1288.6087283027869 8.004756583219397 4.623588094923634 -13176036.90488635
2388.721206657485 0.0 1398.0345836502395 3113.1628532498457 3.928266606070182e-05 1293.9109880936264 7.973629947895719 4.602157610066133 -13114154.250977717
2433.7611810948483 0.0 1447.4503466690085 3107.078576645889 3.989686985187811e-05 1299.378338964772 7.941100554585732 4.579815612703916 -13050079.627325002
2478.8011555322128 0.0 1498.3903805566194 3100.719021877826 4.0549898675742384e-05 1305.0449388307186 7.907092267956231 4.556518002390741 -12983745.112770287
2523.841129969576 0.0 1550.8860249442598 3094.0693596499077 4.1246058329649695e-05 1310.948063937676 7.871523160790574 4.532217813381617 -12915081.342576237
2568.881104406939 0.0 1604.9668562620013 3087.1136335612077 4.199022201380355e-05 1317.1288015672524 7.834304706549582 4.506864890804402 -12844017.578774387
2613.921078844302 0.0 1660.6602688502076 3079.8346720598206 4.2787934265092456e-05 1323.6328689320776 7.795341109512854 4.480405605403948 -12770481.798572764
2658.961053281666 0.0 1717.9909629035137 3072.2139473441703 4.364554174908569e-05 1330.5116168159864 7.754528396229379 4.45278248576163 -12694400.803933766
2704.0010277190295 0.0 1776.980346691406 3064.2314208756775 4.457035430292672e-05 1337.8232612186403 7.711753380245997 4.42393380333033 -12615700.35601627
2749.0410021563935 0.0 1837.645831877603 3055.865364206225 4.5570845785640755e-05 1345.634412138472 7.6668924446456295 4.393793091954889 -12534305.338890884
2794.080976593756 0.0 1899.9999999999998 3047.092149759866 4.665690689300266e-05 1354.0219910387634 7.619810100581252 4.362288587942166 -12450139.957820104
542.0822547256743 10000.0 275.0548244682234 3253.3012783017834 1.986826827830397e-05 833.9824241583269 8.666314305557457 5.060241444755346 -14136423.927945383
587.1222291630952 10000.0 290.016328566716 3252.314419254099 2.0674832568375816e-05 866.4377202612523 8.660988980968739 5.056385806682129 -14123699.363853887
632.1622036005276 10000.0 305.22064604714615 3251.2734836448203 2.1421537713398364e-05 896.2009773379078 8.655372321267027 5.052320410216036 -14110295.623844562
677.2021780379669 10000.0 320.7075362577557 3250.177324757603 2.2114898818792627e-05 923.5473907335894 8.649458211047904 5.048041021642776 -14096200.85940138
722.2421524754122 10000.0 336.512904013793 3249.024644852886 2.2760606184302013e-05 948.7166407477434 8.643239724966953 5.0435428380100005 -14081401.522568552
767.2821269128623 10000.0 352.6698257236466 3247.8140047779666 2.3363667862662275e-05 971.9189427891072 8.636709179994321 5.038820526800224 -14065882.515188089
812.3221013503164 10000.0 369.2092967959195 3246.543830392194 2.392852179998799e-05 993.3398031068119 8.629858170480066 5.033868253289392 -14049627.298604695
857.3620757877729 10000.0 386.1607880661087 3245.212416591851 2.445912534829799e-05 1013.1438108225185 8.622677590265868 5.028679698682755 -14032617.974269608
902.4020502252328 10000.0 403.5526682330805 3243.8179294724723 2.4959027665712006e-05 1031.477700378806 8.615157644745697 5.023248071153992 -14014835.342472628
947.4420246626933 10000.0 421.4125269724764 3242.358380975798 2.5431430068829972e-05 1048.4728538764484 8.607287775574715 5.017566085812444 -13996258.94432584
992.4819991001558 10000.0 439.7674442552584 3240.8317310997063 2.5879230834783245e-05 1064.247363967012 8.599056971223943 5.011626066108638 -13976867.090703197
1037.521973537619 10000.0 458.6441754167539 3239.2357324298887 2.6305072578159807e-05 1078.9077578192885 8.590453289946975 5.005419790396996 -13956636.88086275
1082.5619479750856 10000.0 478.0693289703336 3237.568031225163 2.6711372652729386e-05 1092.5504413238968 8.581464162267745 4.99893858708721 -13935544.212792534
1127.6019224125507 10000.0 498.0695094724544 3235.82621131435 2.7100350474791747e-05 1105.2629228470994 8.572076517903813 4.992173371921978 -13913563.786831507
1172.6418968500172 10000.0 518.6713848818566 3234.007496219689 2.7474066032055595e-05 1117.1248674490635 8.562275866965045 4.985114348543796 -13890669.103762537
1217.681871287486 10000.0 539.9018452072833 3232.109185558177 2.7834422354465805e-05 1128.2089833462758 8.552047621623307 4.977751426669457 -13866832.458314689
1262.721845724956 10000.0 561.7880375296463 3230.128355554955 2.818319782834624e-05 1138.5818074755468 8.541376169328068 4.970073917863124 -13842024.928819316
1307.7618201624266 10000.0 584.3574429884623 3228.0619266544454 2.8522060021603836e-05 1148.304380177157 8.530245065073842 4.962070589340901 -13816216.363621078
1352.8017945981264 10000.0 607.6379303515065 3225.9066421807174 2.8852581615678302e-05 1157.432838223353 8.518636950297214 4.953729629132067 -13789375.364738077
1397.8417690354902 10000.0 631.6578161080915 3223.6591263915548 2.917625097034118e-05 1166.0189339144652 8.506533713356005 4.945038687718932 -13761469.26917691
1442.8817434728535 10000.0 656.4458797352556 3221.315741401616 2.9494491137282857e-05 1174.1105025192162 8.493916031774239 4.935984720658461 -13732464.128269924
1487.921717910217 10000.0 682.031424380369 3218.8727195097395 2.9808664542250692e-05 1181.7518681054823 8.480763756650893 4.92655410012191 -13702324.685320945
1532.9616923475803 10000.0 708.4442917239936 3216.3260811642112 3.0120087192043156e-05 1188.9842150469099 8.467055638038607 4.916732514322801 -13671014.351849044
1578.0016667849434 10000.0 735.7148875991817 3213.6716385292802 3.0430038104578712e-05 1195.8459196501378 8.45276931043897 4.906504949324517 -13638495.182676397
1623.0416412223071 10000.0 763.8741997686644 3210.90498391768 3.0739768982256776e-05 1202.3728514153622 8.437881229491946 4.895855654205104 -13604727.85009933
1668.081615659671 10000.0 792.953804662953 3208.0214533196063 3.105051486348855e-05 1208.598649526585 8.422366529212036 4.884768079759199 -13569671.617373591
1713.1215900970333 10000.0 822.9858961151041 3205.016199453129 3.1363498770112225e-05 1214.5549707156936 8.406199214016569 4.873224923177872 -13533284.311744206
1758.1615645343977 10000.0 854.0032771428231 3201.8841262153046 3.167994346317697e-05 1220.271726082646 8.389351920872127 4.86120803399944 -13495522.297255214
1803.2015389717612 10000.0 886.0393009748091 3198.6196712262154 3.200109189869197e-05 1225.7773144632622 8.371795206675223 4.848698167207184 -13456340.44758489
1848.2415134091243 10000.0 919.1279694096368 3195.217194146624 3.232819476694188e-05 1231.098802796582 8.35349870434469 4.835675332286886 -13415692.119167615
1893.2814878464876 10000.0 953.3038403585274 3191.6706650115357 3.266253636614889e-05 1236.2621428286004 8.334430111682932 4.822118448056997 -13373529.124884546
1938.3214622838514 10000.0 988.6020207762991 3187.973707887312 3.300544180283683e-05 1241.2923583356444 8.314555272446622 4.8080053451717095 -13329801.708631542
1983.361436721215 10000.0 1025.0581413427328 3184.119597808896 3.3358287284990307e-05 1246.2137306931909 8.29383810787618 4.793312719129503 -13284458.52110558
2028.4014111585777 10000.0 1062.708314088918 3180.101227388197 3.372251297643418e-05 1251.0499851722445 8.272240447778023 4.77801604941382 -13237446.59718951
2073.441385595942 10000.0 1101.5890822731008 3175.911079211291 3.409963661807954e-05 1255.8244780788448 8.24972187213658 4.762089520069265 -13188711.335361835
2118.481360033305 10000.0 1141.7373589445785 3171.5411956621715 3.44912686419386e-05 1260.5603882903833 8.2262395363213 4.745505932939913 -13138196.47961234
2163.521334470668 10000.0 1183.1903524636791 3166.9831452963053 3.4899129140598144e-05 1265.280916521666 8.201747975917872 4.728236612115496 -13085844.104408918
2208.561308908031 10000.0 1225.985478066151 3162.227987690358 3.532506693964448e-05 1270.0094957525534 8.17619889577096 4.710251300835622 -13031594.603335777
2253.6012833453956 10000.0 1270.160251194323 3157.2662306030084 3.577108160486583e-05 1274.7700176860135 8.149540922208736 4.691518043914708 -12975386.682111226
2298.6412577827587 10000.0 1315.7521629082883 3152.087786294125 3.6239348498865335e-05 1279.5870794077837 8.1217193378447 4.6720030616028545 -12917157.356796047
2343.6812322201217 10000.0 1362.798537579069 3146.681932279111 3.673224715542002e-05 1284.4862551424278 8.092675813392416 4.651670619162844 -12856841.958124332
2388.7212066574857 10000.0 1411.3363345798123 3141.0371992959813 3.725239908797681e-05 1289.4944112329442 8.062347889312527 4.630482813217778 -12794374.143030256
2433.761181094849 10000.0 1461.4019967161921 3135.1414208275396 3.780270001602844e-05 1294.6400395842402 8.030668944876348 4.608399509068459 -12729685.91461151
2478.8011555322128 10000.0 1513.0311624589795 3128.981550527118 3.838637473019624e-05 1299.9536763584094 7.997567405523149 4.585378031287977 -12662707.651967721
2523.841129969576 10000.0 1566.2584144676255 3122.543638913194 3.900702944015551e-05 1305.468363574844 7.962966420980553 4.56137299908505 -12593368.151586499
2568.8811044069394 10000.0 1621.116950698527 3115.8127322234 3.966871990393895e-05 1311.2202043669483 7.926783257977709 4.536336065408684 -12521594.682229131
2613.9210788443024 10000.0 1677.638205625844 3108.772770217858 4.037603274994556e-05 1317.2490226411421 7.888928642581092 4.510215633938911 -12447313.055602351
2658.961053281667 10000.0 1735.8514014340985 3101.40646088471 4.113418507718634e-05 1323.5991589803723 7.8493059721527 4.482956527874912 -12370447.715504816
2704.00102771903 10000.0 1795.7830485703173 3093.695181426208 4.194914278635036e-05 1330.3204280728676 7.807810544503224 4.4544996565268935 -12290921.848623596
2749.041002156393 10000.0 1857.4563052547705 3085.61877488661 4.282777418312611e-05 1337.4693140438665 7.764328367738383 4.424781540464598 -12208657.520748137
2794.080976593756 10000.0 1920.8902750995999 3077.1554025638798 4.37780338598968e-05 1345.110432744988 7.7187350482103305 4.393733851988115 -12123575.842894593
542.0822547256546 20000.0 277.0303836225535 3277.4320055704266 1.9115608467907833e-05 833.7802610219123 8.73941649589769 5.0836469860745375 -13830182.560132949
587.1222291630633 20000.0 292.1032838487356 3276.4684054415266 1.9889839087016075e-05 866.2067602607262 8.734184154004542 5.0798182697775065 -13817366.51658497
632.1622036004788 20000.0 307.4213927502642 3275.4520476772796 2.0606258945827748e-05 895.9398643147896 8.7286658373351 5.075781357510564 -13803866.227228926
677.2021780379016 20000.0 323.02481015298565 3274.381819976588 2.1271137969805414e-05 923.2547793758966 8.722855582927378 5.071532061432621 -13789669.727897419
722.2421524753289 20000.0 338.9497593977051 3273.2564632409003 2.1889951019064985e-05 948.3911816718884 8.716746636181258 5.067065629920662 -13774763.340176078
767.2821269127589 20000.0 355.22962117071046 3272.07458103044 2.246751515116837e-05 971.5592689118542 8.710331502658873 5.062376787128309 -13759131.821447587
812.3221013501926 20000.0 371.89568668988966 3270.8346459160953 2.300809758537445e-05 992.9445169867237 8.703601983031492 5.057459760328492 -13742758.47510228
857.3620757876286 20000.0 388.97771860919386 3269.5350034940584 2.3515501869808276e-05 1012.7114727034769 8.69654919534108 5.0523082981126635 -13725625.23141854
902.4020502250656 20000.0 406.50437703893135 3268.1738745893044 2.3993137562385245e-05 1031.0068167074112 8.68916358743496 5.046915681559891 -13707712.706391133
947.4420246625052 20000.0 424.50354894722466 3266.7493560150247 2.44440772580929e-05 1047.9618655306888 8.681434941567268 5.041274729856829 -13689000.243664576
992.4819990999471 20000.0 443.0026039182106 3265.25939636918 2.487110473027923e-05 1063.6946372769626 8.673352300437848 5.035377778451852 -13669465.943299199
1037.5219735373869 20000.0 462.02862038451025 3263.7019432477878 2.52767483948564e-05 1078.31156901288 8.66490441091969 5.029216820033269 -13649086.680113014
