# This is a data table for enstatite computed using BurnMan.
# Independent variables are entropy and pressure.
# POINTS: 51 16
# s,J/kg/K P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg
539.7043919876529 0.0 272.9999999999999 3205.1524651112786 1.9315275326748082e-05 831.6750379756444 8.111155476074913 4.9038120560535114 -14351388.531064268
584.692193411943 0.0 287.8732742197956 3204.2120072355174 2.013472803631662e-05 864.1546057646785 8.103263675328547 4.899771666795546 -14338773.125735665
629.6799948362325 0.0 302.9873608330623 3203.2182706891685 2.0899923788912097e-05 893.9279225413976 8.094933317608177 4.89551201883225 -14325483.345850429
674.6677962605208 0.0 318.38210211934006 3202.1698832667753 2.161727303234391e-05 921.2718195849893 8.086154298664153 4.891028821359041 -14311507.444691027
719.6555976848107 0.0 334.09346557188195 3201.065289712512 2.229240420319564e-05 946.4273719819035 8.076915150736552 4.8863171844258275 -14296831.974825656
764.6433991090997 0.0 350.15457979441175 3199.902778897338 2.293030199992662e-05 969.6060063108987 8.06720320452162 4.881371680451921 -14281441.93784705
809.6312005333892 0.0 366.59648630412545 3198.680475030893 2.3535418225956218e-05 990.9943008551618 8.057004575642098 4.876186364473278 -14265320.89432706
854.619001957678 0.0 383.4486994989814 3197.396339934278 2.4111759957376867e-05 1010.7578124574513 8.046304192728165 4.870754796543381 -14248451.044512328
899.6068033819677 0.0 400.73963124021975 3196.048171146743 2.4662961399850083e-05 1029.0441672247096 8.035085799785733 4.865070054968826 -14230813.28705072
944.5946048062568 0.0 418.49691855423066 3194.633598185896 2.5192343215650086e-05 1045.9855859386532 8.0233319448284 4.85912474372021 -14212387.260913158
989.5824062305463 0.0 436.74768057480867 3193.1500771598476 2.5702962198288018e-05 1061.7009695694653 8.011023956676507 4.852910995159586 -14193151.374245238
1034.5702076548355 0.0 455.5187228706705 3191.5948838489467 2.6197653453542565e-05 1076.297638363334 7.9981419111721 4.846420468907918 -14173082.822899701
1079.5580090791248 0.0 474.8367019804091 3189.965105314019 2.6679066735551462e-05 1089.8727951853411 7.984664587577495 4.839644347451507 -14152157.60071213
1124.545810503414 0.0 494.7282593484939 3188.257630039902 2.714969822004114e-05 1102.5147672814298 7.9705694155571045 4.832573328924152 -14130350.503091933
1169.5336119277035 0.0 515.2201313107283 3186.4691364130877 2.7611918745296902e-05 1114.304068493064 7.955832412074365 4.825197617239359 -14107635.125147393
1214.5214133519928 0.0 536.3392401407854 3184.596080477488 2.806799925977054e-05 1125.3143148715758 7.940428112660731 4.817506910651058 -14083983.855305742
